,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
0,Plus jamais !,15 mars 2023,"J’ai commandé un matelas Emma via une vente privée Showroomprive… en janvier !
Livraison normalement prévue le 28 janvier, finalement décalée à mi février puis plus de nouvelles ! On ne cesse de nous répéter que la commande est en cours de préparation mais comment expliquez vous un retard de 2 mois ?
Le pire dans tout ça est que nous avons aménagé dans un nouvel appart, on s’éclate à dormir tous les soirs sur le canapé en attendant ce cher matelas.
Tout le monde se renvoie la balle, cela devient vraiment fatiguant !!! Une honte.",Maya,2 avis,FR,True,Showroomprive.com,"Bonjour Maya,

Tout d'abord, sachez que votre satisfaction est notre priorité et nous vous présentons toutes nos excuses pour cette situation.

Souhaitant vous apporter mon aide, je vous prie de bien vouloir renouveler votre réclamation en nous faisant parvenir le numéro de la commande en question.

Si besoin, nous restons à votre disposition pour tout renseignement.

Bien à vous,

Othmane",1
1,Catastrophique,15 mars 2023,Catastrophique j’avais commandé un service de vaisselle qui comportait 83 pièces il en manque 12 et deux assiettes casée je l’es est contacter en réclamant mais 12 pièces manquantes mais ils m’on répondu qu’il n’avait plus de stock alors que le service et encore en vente sur le site …,VL,1 avis,FR,True,Showroomprive.com,"Bonjour VL,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de notre Direction afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",1
2,comme toujours bonne expérience,14 mars 2023,"comme toujours bonne expérience, articles correspondant à la commande, emballage correct, délai respecté...... cependant, colis arrivé dans un autre relais-colis à plusieurs km alors que celui choisi est juste à côté de chez moi !!!!! et prévenu une fois que le colis est arrivé, pas cool, je ne conduis pas et je dois déranger quelqu'un pour aller le chercher dans les délais....redommage",Madame alasia-letienne,7 avis,FR,True,Showroomprive.com,"Bonjour Patricia,

Merci d'avoir partagé votre expérience avec nous.

Je suis navrée d'apprendre que vous avez récupéré votre colis dans un autre point relais et vous présente mes sincères excuses pour la gène occasionnée.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Cordialement,

Nawal",4
3,Prix intéressants,15 mars 2023,"Prix intéressants, envois rapide, seul bémol par rapport à ZALANDO Privé les frais de renvoi sont à notre charge. Du coup j'hésite à commander chez vous car je reperds 6,50 si l'article ne me convient pas....",Nathalie L,2 avis,FR,False,,,4
4,Les offres sont très variées,23 février 2023,"Les offres sont très variées, avec des promos très intéressantes.
Seul problème qui m'est arrivé 2 fois sur des commandes faites mais annulés par la suite et sans explication.
Sinon je recommande ce site.",Looda,1 avis,FR,False,,,4
5,Je reviens pour un nouvel avis et info.,14 mars 2023,"Je reviens pour un nouvel avis et info.
Tout d’abord l’équipe a été très réactif et j’ai été désabonnée dans la foulée.
Je serais remboursé sous 5 js ouvrés car je venais tout juste d’être prélevé.

Et donc pour l’info, j’ai appris qu’il n’y avait pas de formulaire de résiliation.

Les contacter et leur signifier suffit à pouvoir résilier.

En tout c’est rassurant de pouvoir le faire dès qu’on le souhaite.

Quant aux prix pratiqués sur les FDP avec et sans Abo, je réitère en revanche sur ce point.

Et je suis déçue de l’obligation de 30€ d’achat pour bénéficier d’Infinity.

Donc je vais rester sans Abo et pour le moment.",Skyla,13 avis,FR,True,Showroomprive.com,"Bonjour Skyla,

Merci infiniment pour votre appréciation.

Rassurez-vous, nous prenons en compte votre remarque.

En effet, l'offre Infinity est soumise à certaines conditions. Elle s'applique uniquement sur certains produits du site.

Elle n'assure pas la livraison des produits inscrits dans la catégorie petit et gros électroménager par exemple.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",4
6,Meuble TV arrivé dans les délais mais…,14 mars 2023,"Meuble TV arrivé dans les délais mais arrivé abîmé. En plus, la marque ne correspond même pas à la marque annoncée sur le site… J’ai contacté le service client il y a un mois mais aucun retour de leur part. Je ne recommande pas.",Nil,3 avis,BE,True,Showroomprive.com,"Bonjour Ozelm,

Nous sommes sincèrement désolés d'apprendre que vous ayez reçu votre meuble tv défectueux dans votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Stéphanie",2
7,A fuir,15 mars 2023,"La mauvaise foi du service client n'est plus à prouver. Calamité dans la gestion des réclamations. Produits achetés non disponible. Service ""rediv"" seconde main pitoyable et malhonnête.",Suffit,1 avis,FR,False,,,1
8,une erreur de taille résolu,11 mars 2023,"une erreur de taille. dommage.
après une réponse très rapide de showroomprivé.com j'ai décidé de garder l'article trop grand car je peux l'arranger à ma taille cela évite les désagréments d'un retour.
Pour ma part j'ai toujours été satisfaite des ventes de ce site, c'est donc la première fois qu'il y à un petit problème.
Donc dans l'ensemble très bon site.",Client,8 avis,FR,True,Showroomprive.com,"Bonjour Catherine,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre réclamation.

Cordialement,

Stéphanie",4
9,Livraison rapide reçue avant délai,12 mars 2023,"Livraison rapide reçue avant délai, merci. Les boucles d'oreilles sont fragiles, pas de bonnes qualités. J'ai essayé de mettre les créoles pas épaisses elles se sont tordues, déçue, celles réf. BGE1807038-01 ne tiennent pas, déçue. Rien dans le carton aucune carte de la société aucun mot mentionnant au moins les taille et grammage des boucles d'oreilles, Très déçue de ma commande, sont elles vraiment en argent ? Je peux les retourner et demande donc un remboursement.",Michèle,1 avis,FR,True,Showroomprive.com,"Bonjour Michèle,

Je suis sincèrement navré d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Par ailleurs, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",1
