,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
0,Commande reçue conforme à mes attentes,04 avril 2023,"Commande reçue conforme à mes attentes, une paire de chaussures trop grandes donc j'ai effectué le retour, à ma grande surprise je suis allée retirer mon colis dans un mondial relais ensuite pour effectuer le retour ce mondial retour ne figure pas dans la liste donc j'ai du me déplacer pour effectuer mon retour, pour quelle raison ne peut-on pas retourner un colis au même lieu ? merci pour votre réponse.",Gisèle,5 avis,FR,True,Showroomprive.com,"Bonjour Gisèle,

Je suis navré de lire que les sneakers de votre commande ne vous conviennent pas.

Je comprends votre situation et tiens à vous aider.

Lors de l'enregistrement de la demande de retour de ces chaussures, on vous donne la main pour choisir le transporteur pour renvoyer le colis.

Sur cette commande, je constate que vous avez opté pour La Poste.

Rassurez-vous, je vais vous contacter rapidement en privé afin de vous envoyer une étiquette qui vous permettra de déposer le colis dans le relais que vous avez choisis pour la livraison.

Bonne journée !

Tafitasoa.",3
1,2ème fois en quelques mois que je…,08 avril 2023,"2ème fois en quelques mois que je commande et que l'article reçu n'est pas le bon. On peut retourner pour remboursement mais les frais de port ne sont pas remboursés. Pour une robe à 12€ et 4,50€ de fdp, c'est usant. Aucune possibilité d'échange. Il faut recommander. Au risque d'avoir encore des erreurs !!",Sarah,1 avis,FR,True,Showroomprive.com,"Bonjour Sarah,

J'ai pris connaissance de votre commentaire dans lequel vous signalez la réception d'une robe non conforme à votre commande.

Permettez-moi avant tout de vous présenter les excuses pour cette situation.

Je vous confirme que l'échange n'est pas encore proposé sur notre site.

En ce qui concerne le remboursement, si vous renvoyez l'intégralité de la commande, les frais de livraison sont bien remboursés.

Étant donné qu'il s'agit d'une erreur de notre part, le renvoi est également à la charge de notre site.

Je vais vous contacter en privé pour vous apporter plus d'informations sur ce sujet.

Tafitasoa.",1
2,J'ai commandé un crop bustier avec des…,08 avril 2023,J'ai commandé un crop bustier avec des plumes pour un mariage. Sur la photo il paraissait correct niveau longueur mais lors de la réception de ma commande j'ai été extrêmement déçue car ça ressemble plus à une brassière. Jamais je ne pourrai porter ça au mariage de mon beau frère.,Sarah,2 avis,FR,True,Showroomprive.com,"Bonjour Sarah,

Je suis navré de lire que la longueur des crops top de votre commande ne conviennent pas.

Je comprends votre déception.

Rassurez-vous, je remonte votre cas auprès de notre service qualité et je vous contacterai par rapport à ce sujet.

Bonne journée !

Tafitasoa.",1
3,Je suis fortement déçue..j’ai envoyé…,08 avril 2023,Je suis fortement déçue..j’ai envoyé d’ailleurs un mail de réclamation sans réponse de votre part ..pour vous faire savoir mon mécontentement d’avoir changé de point relai ( éloigné de mon domicile) sans me demander quel point de relai serait mieux approprié,Francoise Kueffer,2 avis,FR,True,Showroomprive.com,"Bonjour Françoise,

Je suis sincèrement navrée d'apprendre que le colis de votre commande a été livré dans un autre point relais éloigné de votre domicile.

Je vous présente mes excuses pour cet incident.

Je suis conscient que cette situation soit gênante pour nos clients et vous assure que cet incident ne reflète en aucun cas ce que nous souhaitons vous démontrer.

Je vous informe avoir pris en charge votre cas et vous contacterai au plus vite afin d'échanger avec vous sur ce sujet.

Bonne journée !

Tafitasoa.",1
4,Commande non livrée et enquête auprès de colissimo,08 avril 2023,"Commande non livrée alors que colissimo indique qu’elle est livrée.
Je fais la réclamation auprès de showroomprivé et après enquête auprès du transporteur, on m’indique que le colis a bien été livré alors que c’est faux.
J’appelle aujourd’hui en faisant part de mon mécontentement
Je demande le remboursement de ma commande non reçue
Ma réclamation va remonter à un niveau supérieur mais je ne m’attend pas à un miracle et suis déçue de ce site sur lequel je ne commanderai plus",Martine Bisson,2 avis,FR,False,,,1
5,Assez déçu du service après vente,08 avril 2023,Assez déçu du service après vente. Le meuble acheté est arrivé abimé et la seule chose proposé par showroomprivé fut de me rembourser et de reprendre le meuble. Or il n'y avait qu'une pièce à changer. J'ai donc garder mon meuble...,Vanessa Philippot Maya Drip,6 avis,FR,True,Showroomprive.com,"Bonjour Vanessa,

Je suis désolé d'apprendre que vous avez reçu un buffet avec une pièce abîmée.

Je comprends que la solution proposée ne vous convienne pas.

Je prends en charge de votre réclamation et vous assure que je vous contacterai en privé par rapport à votre dossier.

Bonne journée !

Tafitasoa.",3
6,Valises déjà utilisées,09 avril 2023,J'ai acheté un set de 3 valises d'une marque française. Sur les trois valises reçues j'ai deux valises avec des tâches et des traces noires comme un feutre noir sur 5ou 6 cm . Valises sales et déjà utilisées. Je suis dépitée.,yasmina linda,3 avis,FR,False,,,1
7,Superbe commande bijoux Ikita,07 avril 2023,"J'adore les bijoux de la marque Ikita, bijoux originaux, pour tous les styles, en acier inoxydable.
Le + sur Showroom c'est que les prix sont très attractifs donc l'occasion de se faire 2 fois plus plaisir 😊
Juste la commande un peu longue car commandé le 08/04/23 et reçu un mois après.",GLM,8 avis,FR,True,Showroomprive.com,"Bonjour Gwendoline,

Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service de livraison !

Ce sont vos commentaires qui nous permettent de le faire.

À très bientôt sur Showroomprive.com.

Valisoa",4
8,Je n'ai Jamais été remboursé pour un…,07 avril 2023,Je n'ai Jamais été remboursé pour un tapis que je n ai jamais reçu et que j ai payé plus de 150€. Service client incompétent qui n'a jamais su trouver une solution. Je ne recommande pas particulièrement ce site marchand.,Anisa,4 avis,FR,False,,,2
9,Super prix,08 avril 2023,"Super prix, super rapide ... par contre j'ai fait 2 commandes le même jour sur le même site et je n'ai reçu qu'un seul colis, alors que ce n'était qu'à qq heures d'écart mais bon je vais attendre le parfum de mon mari",Nathalie Gressier,2 avis,FR,True,Showroomprive.com,"Bonjour Nathalie,

Un grand merci pour votre avis !

Soyez assurée que nous mettons tout en œuvre pour vous donner satisfaction au plus tôt !

Le colis de la seconde commande est déjà en cours d'acheminement et est prévu le 13/04/2023 au plus tard.

Très heureux de vous compter parmi nos clients.

Bonne journée de la part de toute l'équipe.

Tafitasoa.",5
